# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
382464 747 0.00115983551744013
382976 748 0.00115960189509307
383488 749 0.00115937721613796
384000 750 0.00115916133180182
384512 751 0.0011589537291469
385024 752 0.00115875434876984
385536 753 0.00115856335210864
386048 754 0.00115838063856588
386560 755 0.00115820633603897
387072 756 0.00115804103295556
387584 757 0.0011578852847474
388096 758 0.00115773957379552
388608 759 0.00115760471602305
389120 760 0.0011574815333435
389632 761 0.00115737055096464
390144 762 0.00115727237889576
390656 763 0.00115718760589285
391168 764 0.00115711634115462
391680 765 0.00115705853036408
392192 766 0.0011570142632111
392704 767 0.00115698332316424
393216 768 0.0011569651192382
393728 769 0.00115695925609487
394240 770 0.00115696555806955
394752 771 0.00115698349566904
395264 772 0.00115701242419302
395776 773 0.00115705220319456
396288 774 0.00115710259170676
396800 775 0.001157162720102
397312 776 0.00115723180563382
397824 777 0.00115730938500059
398336 778 0.00115739455031533
398848 779 0.00115748614581465
399360 780 0.00115758365883792
399872 781 0.00115768698734831
400384 782 0.00115779604203668
400896 783 0.0011579113463957
401408 784 0.00115803418462921
401920 785 0.00115816578697555
402432 786 0.00115830710884636
402944 787 0.00115845913268024
403456 788 0.00115862245941114
403968 789 0.00115879693603604
404480 790 0.00115898203523379
404992 791 0.00115917695508011
405504 792 0.00115938035332212
406016 793 0.00115959066284895
406528 794 0.00115980647081207
407040 795 0.00116002625784302
407552 796 0.00116024840995687
408064 797 0.00116047173617613
408576 798 0.00116069534152318
409088 799 0.00116091819135899
409600 800 0.00116113942693524
